feature,lgb_importance,cat_importance,avg_importance,importance_diff
homepage_featured_rolling_sum_4,0.4007181788724665,0.2120372592448296,0.3063777190586481,0.18868091962763692
homepage_featured_rolling_mean_14,0.24117757726245065,0.267133381234591,0.25415547924852083,0.025955803972140368
cuisine_Indian,0.2621831376252373,0.22886287450938284,0.2455230060673101,0.03332026311585448
category_Sandwich,0.13372805352189948,0.3484188231941215,0.24107343835801048,0.214690769672222
category_Salad,0.13144313562261012,0.27716941763424596,0.20430627662842804,0.14572628201163584
homepage_featured_rolling_sum_8,0.10881447914446676,0.2559146307113392,0.182364554927903,0.14710015156687242
category_Starters,0.20410896238781268,0.10541112419041467,0.15476004328911366,0.09869783819739801
category_Seafood,0.12416927602117273,0.1043058960463234,0.11423758603374806,0.019863379974849327
center_type_TYPE_A,0.07281187535153308,0.11597785669818476,0.09439486602485891,0.043165981346651686
category_Desert,0.12135512863474204,0.045848179345066596,0.08360165398990432,0.07550694928967544
category_Soup,0.03321750664235306,0.057084439620581025,0.04515097313146704,0.023866932978227964
category_Fish,0.012293718413082957,0.031118593158962968,0.021706155786022963,0.01882487474588001
category_Pasta,0.008532424266405728,0.002124700239733709,0.005328562253069718,0.006407724026672019
category_Biryani,0.0,0.010571165895370447,0.005285582947685223,0.010571165895370447
